id,creation_date,firstname,lastname,country,email,address,gender,age_group,canal,last_activity_date,churn
f120372e-022b-41b6-88f7-d6aec8565a6e,04-19-2013 00:00:00,Christopher,Davis,SPAIN,sbrooks@hebert.com,"0866 Luna Crest
Briggsside, AR 02197",1,3,WEBAPP,06-04-2023 16:55:26,true
68eac5be-ba02-4b28-898b-f531b0e294f4,01-21-2014 00:00:00,Andrea,Pierce,USA,ybriggs@pierce.org,"4600 Richardson Dale
New Wanda, NE 42581",1,2,MOBILE,06-06-2023 20:54:21,true
e4ac5e22-4112-4ade-be03-ebc9a4fcd971,08-05-2021 00:00:00,Jane,Padilla,USA,sellersmichael@mitchell.com,"286 Angela Row
South Rachel, AL 90762",1,6,PHONE,06-02-2023 20:30:20,true
85b5cb37-703e-4b0b-9fd2-e26bfc28ebd6,07-22-2021 00:00:00,Deanna,Brewer,SPAIN,wnunez@cole.com,"15141 Mendoza Brook
Port Richardhaven, NE 17171",0,6,MOBILE,06-01-2023 17:08:48,false
ae08a336-3126-4ef8-b8c0-2ca6b0277593,08-02-2021 00:00:00,Carla,Harper,FR,traceyhoward@zhang-gutierrez.org,"3583 Green Squares
Port Jameshaven, MO 58447",1,2,MOBILE,06-04-2023 21:36:07,true
449a2bba-a29d-48dc-b623-2acd83dea4fb,07-24-2021 00:00:00,Joel,Young,FR,cathy85@silva.com,"16999 Michael Alley Apt. 910
Nguyenport, KS 99031",1,6,WEBAPP,06-02-2023 21:02:46,true
db8777a9-c7d8-4cae-9bac-80f4afd269b8,08-14-2021 00:00:00,Ian,White,USA,marie14@patrick-deleon.com,"123 Christian Village Suite 413
Port Ashleyport, VA 44207",1,4,WEBAPP,06-04-2023 16:39:48,false
7339fbd2-5b2b-4b9a-82c6-dc577ef0cf91,07-24-2021 00:00:00,Elizabeth,Ortega,FR,marshstacy@serrano.info,"58280 Brittany Terrace Apt. 046
Lake Pamelatown, PA 72400",1,6,PHONE,06-08-2023 08:04:54,false
65ae08c1-4327-47ce-b1e7-f88b196bf015,08-06-2021 00:00:00,Dana,Walsh,FR,veronica63@cardenas.com,"Unit 4287 Box 8773
DPO AE 21291",1,2,MOBILE,06-04-2023 13:00:52,true
23671c7d-06b2-4a0d-a750-8faefd8348fe,07-23-2021 00:00:00,James,Harris,SPAIN,aaronbrooks@combs.info,"57462 Duncan Land
Stephenston, ND 98930",1,8,WEBAPP,06-07-2023 03:58:15,true
f6554282-3f7b-4990-8f98-99957e1ee93e,08-06-2021 00:00:00,Misty,Melton,USA,qbrooks@hudson.com,"77853 Taylor Mills Suite 333
West Michael, OH 05212",0,5,PHONE,06-06-2023 22:22:43,true
7d846f7b-24de-41b8-9f64-378336ee14ad,07-20-2021 00:00:00,Patricia,Kline,USA,thomasjackson@ballard.com,"32378 Manning Island
South Kathleen, UT 33425",1,2,PHONE,06-01-2023 02:34:36,true
99087622-126c-4f17-92d1-7524dc519275,08-11-2021 00:00:00,Matthew,Morgan,USA,rhodeschase@mejia-phelps.info,"29264 Karl Hill Apt. 330
Samuelview, NJ 06954",1,1,WEBAPP,06-02-2023 09:49:01,true
ba73b950-36fa-4e68-92df-16ca49a564bc,07-31-2021 00:00:00,Cathy,Franklin,SPAIN,burnscorey@novak-scott.biz,"262 Perez Underpass
East Katherine, AK 79551",1,4,MOBILE,06-04-2023 06:18:08,false
ef5959e0-6a60-4e2a-a935-cf0f4bd99c95,07-19-2021 00:00:00,Heather,Schwartz,FR,garciaamber@patterson.com,"62696 Price Court Apt. 321
Vargasfort, NH 04859",1,4,PHONE,06-05-2023 10:58:54,true
7963f8b9-eddd-440c-8bc3-1d5bfec9f1fd,08-05-2021 00:00:00,Jessica,Oconnor,SPAIN,hchoi@burns.net,"78095 Rachel Center Suite 295
Smithside, AS 17557",1,10,PHONE,06-08-2023 17:29:43,true
0d9e5d61-27f1-4091-98cc-a459d9b4a977,07-25-2021 00:00:00,Lauren,Lindsey,FR,bradleylee@weeks.com,"Unit 3324 Box 2272
DPO AA 31600",1,9,PHONE,06-06-2023 05:17:38,false
1f7793d7-803d-4b42-a81d-99a5ab297ec1,07-26-2021 00:00:00,Rebecca,Mckee,FR,oliviaavery@ramirez.com,"020 Lisa Summit
Ellisonbury, RI 29406",1,5,PHONE,06-03-2023 13:38:27,false
6c72c8a9-6fbf-403e-b948-ecf3aaf3a343,08-18-2021 00:00:00,Brooke,Larson,USA,hartmandaniel@becker.com,"3278 Jessica Groves
Port Benjamin, VA 11952",0,2,MOBILE,06-01-2023 15:39:23,true
7ecec37f-b54c-40ef-bc38-b0c74e89b859,09-01-2021 00:00:00,Carla,Harper,USA,traceyhoward@zhang-gutierrez.org,"3583 Green Squares
Port Jameshaven, MO 58447",1,0,MOBILE,06-04-2023 21:36:07,true
1109fc42-f419-45bf-979f-bf9e1c338e59,09-09-2021 00:00:00,Laura,Salinas,FR,hallbryan@campbell.com,"03171 Sabrina Brooks
Sarahberg, NE 32938",1,7,PHONE,06-07-2023 23:54:18,false
1aed04f3-47dc-4402-b796-c86e75f35581,08-27-2021 00:00:00,Jessica,Daniel,USA,william01@brown.info,"6813 Vargas Hill Suite 911
Port Debbieside, WA 69809",0,6,PHONE,06-02-2023 20:30:45,true
3bc06c27-7eb2-4a10-8304-223b68788769,08-30-2021 00:00:00,Kevin,Evans,USA,gonzalesjacqueline@rasmussen.biz,"907 Singh Turnpike
Loriborough, DC 59235",1,4,WEBAPP,06-09-2023 04:37:39,true
3e9f1429-7b39-492f-b3ba-203a74c6ef59,09-15-2021 00:00:00,Christopher,Miller,FR,cynthia55@taylor.net,"552 Carolyn Drive
South Deborah, PW 61621",1,2,WEBAPP,06-03-2023 19:38:08,true
52b756f2-2b85-4af6-b3cd-e082d2418f78,09-03-2021 00:00:00,Natalie,Johns,SPAIN,gmiles@fletcher.com,"7068 Bell Land
Jerryberg, CA 12806",0,3,PHONE,06-08-2023 18:42:47,true
41fcd397-fa43-4fe3-b338-fba04b794364,08-27-2021 00:00:00,Taylor,Mcdonald,FR,sclayton@daniels-norris.biz,"2267 Gilmore Radial
West Betty, FM 96095",1,7,WEBAPP,06-03-2023 01:23:20,false
00099a21-5862-4b47-ab5c-220cb61b692e,09-04-2021 00:00:00,Kathy,Hubbard,FR,brenda07@craig.biz,"686 Kendra Hill
West Jessemouth, AK 76783",1,3,PHONE,06-08-2023 17:33:12,true
fc8fe5f3-2125-4769-b7e8-e0d9f98bff08,09-13-2021 00:00:00,Linda,Lara,USA,jonathanaustin@reyes-jackson.com,"978 Dodson Camp
Cookmouth, IN 17720",0,7,PHONE,06-01-2023 13:47:23,true
013fdeb8-d911-4154-83a3-4ffbac94d1bc,08-23-2021 00:00:00,Cole,Davis,USA,huntbenjamin@daugherty-king.net,"17348 Mary View Apt. 652
Clarkemouth, MN 26127",0,8,WEBAPP,06-02-2023 04:03:58,false
97a07bad-c68c-4f8b-be8b-6110e7881756,09-09-2021 00:00:00,Kevin,Torres,FR,dillonteresa@hawkins.com,"100 Garcia Forks Apt. 035
New Aaronmouth, OK 91268",1,10,WEBAPP,06-04-2023 22:49:18,true
53bcda65-a8c4-403a-a71c-1530c18e04e2,09-17-2021 00:00:00,Briana,Matthews,SPAIN,stacy42@taylor.info,"153 Parks Camp Suite 964
Brittanyport, SC 71000",1,10,MOBILE,06-08-2023 15:28:13,false
65eeb55e-7392-4d58-9c4e-f0e1cdd62572,09-05-2021 00:00:00,Meghan,Mathis,SPAIN,xjimenez@gibson.com,"2104 Glass Shoals
Santosport, PA 50841",0,9,PHONE,06-07-2023 18:38:36,true
2621591b-d479-4b25-9bed-2b0d6fe2ea6e,09-09-2021 00:00:00,Brandy,Silva,FR,fredbradshaw@austin.biz,"Unit 0400 Box 9837
DPO AA 79304",1,1,MOBILE,06-09-2023 04:16:59,true
c328db14-b2d0-41e0-b9c7-a3ac7aece43e,09-08-2021 00:00:00,Alexander,Smith,USA,gabriellestewart@nguyen.biz,"0191 Jeffrey Ferry
Brandonbury, WV 56664",0,9,WEBAPP,06-01-2023 03:15:24,false
f65733b1-cbdc-4334-83d4-5d91f76a5d03,09-17-2021 00:00:00,Michael,Bailey,SPAIN,cindy14@whitney.com,"USNV Carlson
FPO AP 90009",1,6,WEBAPP,06-08-2023 10:23:58,false
fbc7f060-1f90-4323-9fee-9f2cfff3f760,08-27-2021 00:00:00,Dylan,Hernandez,SPAIN,michele19@martin.biz,"08895 Gutierrez Place Apt. 177
South Zachary, WI 33355",0,6,WEBAPP,06-07-2023 10:33:49,false
de6a9f74-49d2-451c-864e-84310a5f8831,09-26-2021 00:00:00,Dylan,Hernandez,USA,michele19@martin.biz,"08895 Gutierrez Place Apt. 177
South Zachary, WI 33355",1,9,WEBAPP,06-07-2023 10:33:49,true
2fb13a21-eaaa-47cd-a69e-ff3fa30cce74,10-01-2021 00:00:00,Jesse,Hall,FR,averytracy@weeks.com,"00569 Mandy Shoal
Smithville, WY 34200",1,1,WEBAPP,06-04-2023 21:30:46,true
d3060bb6-13b8-46cd-886e-f293df7c11cc,09-29-2021 00:00:00,Sean,Griffin,USA,xmarquez@guerrero.com,"1448 Krystal Station
New Ericfort, NM 08150",1,8,WEBAPP,06-04-2023 12:24:22,true
1d8efd4c-1480-4bc0-a799-b9ff6b93febf,10-14-2021 00:00:00,Justin,Mitchell,FR,jennifer44@ayers.org,"346 Henry Branch Apt. 387
North Michaelstad, MI 52471",0,3,WEBAPP,06-05-2023 18:24:12,false
bfe3a0a1-80a6-4116-b241-b7d40540f048,10-05-2021 00:00:00,Dana,Walsh,SPAIN,veronica63@cardenas.com,"Unit 4287 Box 8773
DPO AE 21291",1,2,MOBILE,06-04-2023 13:00:52,true
e300e1f7-4907-40c0-b9ea-139344208c2f,09-25-2021 00:00:00,Christopher,Miller,SPAIN,michaelrogers@ryan-cherry.com,"USCGC Cooper
FPO AA 06890",1,7,WEBAPP,06-07-2023 18:29:48,true
c3559d3a-e3d7-443b-9992-7c9adc72a5f9,09-21-2021 00:00:00,Michelle,Glenn,SPAIN,longgary@craig.com,"659 Martin Spurs
West Kimberly, VA 40956",1,5,PHONE,06-02-2023 03:18:56,false
fe2aa288-2c4e-459b-b784-1dab7c1e71e5,10-16-2021 00:00:00,Erica,Lowe,FR,nicholas00@green-coleman.net,"7852 Evans Spur
Lovemouth, NM 40747",1,0,PHONE,06-07-2023 00:51:49,false
490a15c0-7e8c-4e23-86ac-fb6999e1a324,10-01-2021 00:00:00,Gloria,Parks,USA,cgarcia@gates.com,"161 Riley Expressway
Austinmouth, NH 26441",1,5,PHONE,06-01-2023 18:10:33,true
7f2a5512-f74b-432f-b0e6-e07fb31bcee6,09-30-2021 00:00:00,Mary,Pittman,USA,rachelclark@parks.com,"246 Sandra Neck Suite 458
Hannahfurt, MP 53006",1,7,PHONE,06-04-2023 02:06:29,true
b5c4f4af-25f2-4921-b90f-adfc2e357523,10-10-2021 00:00:00,Jessica,Gross,SPAIN,elizabeth18@snyder.com,"51108 Randy Expressway
New Jacobtown, AK 34030",1,8,PHONE,06-02-2023 20:32:08,true
7a67da95-82b9-4fa6-9d35-fabeafeb8964,10-11-2021 00:00:00,Nathan,Watson,USA,swillis@donaldson.com,"Unit 0072 Box 1181
DPO AP 74628",0,9,WEBAPP,06-05-2023 05:36:43,true
89c6e36f-f26d-4045-998a-190cbedf3df9,09-26-2021 00:00:00,Hunter,White,SPAIN,wardjohnny@howard-lee.com,"5773 Dan Divide Apt. 436
Charlesfurt, NH 80840",0,6,WEBAPP,06-06-2023 10:11:02,false
6fe601b4-a93c-4240-9112-a2294f59522d,10-04-2021 00:00:00,William,Romero,SPAIN,rriggs@armstrong.org,"3501 Wright Ridge Suite 542
Johnsonside, MP 03305",0,6,WEBAPP,06-08-2023 19:56:16,true
58c5e595-a5d9-4df4-8c2e-d21bd1779ae2,09-25-2021 00:00:00,Robin,Mcintyre,USA,toddmarks@duncan.org,"3530 Madden Expressway
Brittanyport, ME 80994",0,8,PHONE,06-09-2023 08:51:04,true
